OtherPerCap,PctKids2Par,ViolentCrimesPerPop
0.26,0.87,0
0.15,0.61,2
0.32,0.49,3
0.28,0.63,2
0.09,0.53,4
0.89,0.81,1
0,0.75,0
0.53,0.8,4
0.21,0.81,3
0.16,0.37,9
0.2,0.59,1
0.53,0.84,1
0.25,0.48,5
0.43,0.78,2
0.51,0.83,0
0.2,0.29,7
0.13,0.54,1
0.5,0.58,6
0.23,0.52,4
0.29,0.73,4
0.37,0.73,1
0.31,0.41,2
0.73,0.88,0
0.27,0,4
0.2,0.62,5
0.22,0.43,2
0.3,0.66,2
0.58,0.87,1
0.46,0.76,2
0.25,0.49,2
0.42,0.7,1
0.27,0.83,0
0.31,0.38,3
0.27,0.9,1
0.27,0.58,2
1,0.94,0
0.36,0.6,2
0.31,0.51,4
0.16,0.59,5
0.31,0.55,4
0.94,0.5,4
0.55,0.74,1
0.17,0.61,3
0.11,0.67,1
0.32,0.41,2
0.47,0.76,1
0,0.86,1
0.32,0.47,4
0.1,0.55,1
0.45,0.55,1
0.24,0.48,3
0.25,0.39,4
0.47,0.31,3
0.24,0.26,8
0.26,0.25,6
0.24,0.58,7
0.48,0.59,2
0.19,0.55,3
0,0.14,10
0.44,0.84,1
0.34,0.58,0
0.18,0.55,3
0.33,0.56,2
0,0.87,0
0.4,0.79,1
0.21,0.43,5
0,0.74,0
0.93,0.36,9
0.16,0.53,6
0.23,0.52,3
0.28,0.59,2
0.52,0.87,0
0.31,0.8,1
0.36,0.94,2
0.12,0.65,3
0.3,0.56,2
0.2,0.75,1
0.33,0.62,4
0.19,0.48,7
0.17,0.35,10
0.25,0.25,10
0.25,0.69,4
0.4,0.81,0
0.32,0.52,2
0.42,0.76,1
0,0.77,1
0.17,0.13,7
0,0.73,1
0.09,0.97,0
0.41,0.74,2
0.27,0.61,6
0.2,0.43,9
0.25,0.58,6
0.12,0.7,1
0.3,0.48,7
0.19,0.64,1
0.46,0.75,1
0.32,0.67,5
0.21,0.51,5
0.53,0.83,0
0.22,0.5,3
0.6,0.82,1
0.12,0.44,6
0.36,0.68,1
0.21,0.88,0
0.14,0.29,4
0.3,0.59,3
0.38,0.76,1
0.51,0.77,1
0.59,0.83,1
0.3,0.72,1
0.27,0.59,2
0.4,0.72,4
0.27,0.18,10
0.2,0.36,6
0.34,1,0
0.31,0.68,1
0.43,0.76,1
0.64,0.86,0
0.48,0.91,0
0.16,0.68,2
0.26,0.37,10
0.28,0.87,0
0.21,0.63,5
0.39,0.64,1
0.29,0.65,2
0.41,0.87,0
0.17,0.49,3
0.2,0.37,4
0.25,0.53,3
0.36,0.88,1
0.17,0.53,0
0.25,0.38,3
0.35,0.84,1
0.29,0.71,2
0.27,0.22,4
0.23,0.54,1
1,0.79,0
0.29,0.72,2
0.18,0.64,0
0.17,0.9,1
0.27,0.67,1
0.64,0.23,7
0.18,0.55,1
0.42,0.91,2
0.2,0.61,3
0.51,0.6,2
0.35,0.62,2
0.47,0.82,1
0.52,0.75,1
0.16,0.44,2
0.19,0.3,8
0.33,0.94,0
0.37,0.85,1
0.38,0.68,1
0.15,0.49,3
0.28,0.72,1
0.26,0.68,3
0.2,0.6,3
0.32,0.76,1
0.17,0.45,4
0.16,0.16,9
0.39,0.51,2
0.02,0.63,1
0.31,0.53,1
0,0.48,1
0,0.56,5
0.4,0.76,1
0.15,0.97,0
0.13,0.6,0
0.33,0.71,3
0.25,0.35,8
0.62,0.49,2
0.26,0.63,1
0.3,0.83,1
0.16,0.96,0
0.24,0.67,1
0.25,0.96,1
0,0.65,2
0.19,0.64,7
0.33,0.69,3
0.29,0.82,1
0.26,0.58,6
0.16,0.77,1
0.19,0.56,1
0.4,0.52,2
0.23,0.55,3
0.25,0.8,2
0.25,0.83,0
0.24,0.54,5
0.18,0.42,10
0.26,0.88,0
0.37,0.62,1
0.11,0.41,2
0.17,0.55,3
0.26,0.52,5
0.54,0.65,1
0.25,0.44,7
0.22,0.23,9
0.13,0.42,2
0.3,0.9,0
0.81,0.58,1
0,0.6,1
0.34,0.89,0
0.29,0.62,4
0.22,0.44,8
0,0.51,1
0.36,0.86,1
0.15,0.28,6
0.25,0.36,4
0.22,0.59,2
0.16,0.61,1
0.38,0.82,2
0.01,0.64,0
0.9,0.86,0
0.17,0.76,1
0.25,0.45,4
0.22,0.57,5
0.16,0.67,1
0.26,0.64,3
0.49,0.59,3
0.3,0.66,4
0.13,0,10
0.49,0.8,1
0.4,0.73,2
0,0.9,1
0.1,0.48,5
0.2,0.37,3
0.27,0.72,1
0.26,0.58,4
0.26,0.66,6
0.31,0.56,2
0.53,0.72,4
0,0.75,1
0.5,0.36,4
0.03,0.84,0
0.17,0.48,2
0.19,0.84,0
0.01,0.47,2
0.45,0.8,1
0.27,0.53,5
0.17,0.54,3
0.21,0.2,7
0,0.8,3
0.18,0.59,3
0.24,0.42,5
0.43,0.78,1
0.24,0.71,1
0.25,0.28,5
0.14,0.64,1
0.22,0.41,5
0.19,0.72,2
0.1,0.59,1
0,0.31,0
0.38,0.72,1
0.28,0.73,0
0,0.39,4
0.2,0.14,6
0.24,0.43,4
0.23,0.6,0
0.43,0.74,0
0.41,0.73,2
0.27,0.55,2
0.37,0.77,2
0.25,0.51,4
0.29,0.22,5
0.27,0.73,1
0.3,0.67,1
0.92,0.47,6
0.2,0.24,6
0.22,0.18,7
0.01,0.82,1
0.22,0.55,1
0.14,0.55,2
0.4,0.67,1
0.41,0.85,1
0.24,0.47,2
0.33,0.29,5
0.17,0.51,2
0.22,0.52,3
0.31,0.76,1
0.61,0.71,1
0.2,0.57,1
0.21,0.69,1
0.2,0.55,8
0.94,0.8,1
0.31,0.77,2
0.47,0.95,1
0.22,0.54,5
0.4,0.73,3
0.21,0.88,0
0.16,0.09,5
0.09,0.75,0
0.38,0.81,1
0.45,0.51,2
0.29,0.66,3
0.18,0.38,4
0.28,0.51,7
0.38,0.94,0
0.3,0.74,2
0.21,0.7,1
0.11,0.51,1
0.16,0,9
0.15,0.63,1
0.36,0.8,0
0.24,0.63,4
0.39,0.78,1
0.3,0.45,5
0.1,0.37,2
0.3,0.47,2
0.05,0.89,1
0.2,0.54,1
0.95,0.89,0
0.28,0.6,5
0.13,0.8,1
0.64,0.4,1
0.13,0.23,5
0.7,0.82,1
0.37,0.56,1
0.13,0.74,2
0.49,0.52,1
0.29,0.6,3
0.16,0.82,0
0.13,0.97,0
0.33,0.81,1
0.62,1,0
0.23,0.61,2
0.25,0.35,4
0.19,0.78,2
0.35,0.54,3
1,0.93,0
0.45,0.65,0
0.24,0.65,1
0.32,0.51,5
0.2,0.48,0
0.33,0.5,2
0.22,0.3,3
0,0.54,0
0.12,0.41,3
0.25,0.51,3
0.24,0.66,1
0.12,0.48,1
0.14,0.77,0
0.55,0.48,3
0.53,0.94,0
0.24,0.61,3
0.18,0.77,0
0.34,0.5,2
0,0.79,1
0.41,0.81,1
0.6,0.83,1
0.41,0.7,1
0,0.79,0
0.22,0.54,2
0.21,0.48,3
0.3,0.49,2
0.34,0.84,0
0.32,0.71,1
0.43,0.8,1
0.22,0.47,7
0.25,0.2,8
0.07,0.56,2
0.75,0.45,2
0.4,0.66,1
0.35,0.67,3
0.48,0.7,3
0,0.59,1
0.99,0.9,0
0.27,0.4,5
0.15,0.69,3
0.27,0.66,2
0.77,0.97,1
0.22,0.49,7
0.44,0.76,1
0.2,0.56,2
0.28,0.62,2
0.26,0.98,0
0.28,0.82,1
0.48,0.77,2
0,0.98,0
0.2,0.61,1
0.32,0.58,1
0.25,0.47,3
0.63,0.78,0
1,0.94,0
0.33,0.64,1
0.3,0.8,0
0.23,0.87,0
0.15,0.52,6
0.02,0.84,1
0.23,0.53,8
0.18,0,9
0.47,0.76,1
0.41,0.73,3
0.07,0.62,3
0.31,0.89,0
0,0.81,1
0.23,0.61,2
0.57,0.84,0
0.38,0.78,1
0.27,0.68,2
0.56,0.75,0
0.25,0.48,1
0.68,0.86,0
0.18,0.46,3
0.52,0.97,1
0.42,0.89,2
0.48,0.82,1
0.13,0.49,4
0.64,0.61,3
0.17,0.72,1
0.33,0.83,1
0.43,0.89,1
0.16,0.57,2
0.16,0.68,1
0.22,0.47,3
0.27,0.7,3
0.25,0.6,0
0.05,0.39,1
0.29,0.74,1
0.03,0.75,0
0.8,0.92,0
0.15,0.63,1
0.4,0.88,0
0.29,0.43,3
0.64,0.8,1
0.22,0.54,5
0.36,0.79,1
0.25,0.94,1
0,0.57,4
0.13,0.81,1
0.86,0.95,1
0.39,0.67,1
0.41,0.79,1
0.22,0.68,2
0.22,0.71,1
0.41,0.73,1
0.05,0.81,1
0.34,0.46,1
0.33,0.95,0
0.27,0.86,0
0.34,0.67,2
0.14,0.72,1
0.15,0.25,5
0.17,0.11,3
0.24,0,9
0.36,0.81,1
0,0.75,7
0.28,0.62,1
0.22,0.49,3
0.29,0.44,3
0.2,0.47,3
0.19,0.57,1
0.35,0.77,1
0.1,0.77,1
0,0.83,2
0.5,0.81,0
0.32,0.79,1
0.88,0.52,4
0.17,0.42,7
0.83,0.85,1
0.15,0.2,4
0.04,0.37,10
0.18,0.6,3
0,0.44,5
0.24,0.44,8
0.23,0.86,0
0.27,0.63,1
0.56,0.76,1
0.18,0.11,5
0.39,0.88,1
0.16,0.79,1
0.28,0.46,6
0.18,0.66,2
0.4,0.57,1
0.25,0.57,1
0.18,0.44,3
0.54,0.95,0
0.11,0.38,3
0.45,0.85,1
0.2,0.61,2
0.26,0.85,0
0.35,0.55,2
0.55,0.89,1
0.28,0.6,2
0.25,0.66,4
0.47,0.73,1
0.35,0.84,1
0.57,0.85,1
0.34,0.82,1
0,0.68,1
0.25,0.86,3
0.11,0.79,1
0.34,0.39,5
0.09,0.12,10
0.38,0.59,2
0.09,0.98,1
0.02,0.39,3
0,0.05,4
0.41,0.79,2
0.75,0.9,0
0.16,0.71,1
0.52,0.84,0
0.03,0.56,4
0.26,0.67,0
0.15,0.92,0
0.69,0.87,0
0.16,0.61,1
0.38,0.79,1
0.32,0.79,1
0.09,0.43,10
0,0.4,0
0.37,0.92,1
0.21,0.31,5
0.79,0.76,2
0.09,0.73,2
0.03,0.54,2
0.42,0.72,0
0.22,0.16,7
0.36,0.3,5
0.73,0.96,0
0.2,0.31,6
0.5,0.77,2
0.3,0.84,1
0.53,0.84,0
0.16,0.87,0
0.32,0.5,3
0.23,0.49,4
0,0.78,2
0.47,0.81,1
0.48,0.91,1
0.04,0.86,0
0.23,0.59,1
0,0.87,0
0.43,0.88,1
0.02,0.51,3
0.07,0.96,0
0.26,0.84,0
0.26,0.74,1
0.32,0.78,0
0.41,0.74,1
0.36,0.85,0
0.38,0.05,7
0.15,0.52,1
0.37,0.62,2
0.27,0.84,1
0.2,0.48,3
0.24,0.66,0
0.15,0.58,5
0.5,0.92,0
0.36,0.93,0
0.02,0.42,2
0.14,0.53,1
0.33,0.6,3
0.95,0.93,1
0.03,0.4,5
0.19,0.38,3
0.35,0.62,2
0.15,0.56,4
0.29,0.53,2
0.32,0.8,0
0.32,0.64,1
0.25,0.68,3
0.27,0.77,1
0.15,0.13,4
0.17,0.43,2
0.63,0.85,0
0.18,0.33,6
0.06,0.86,0
0.13,0.76,1
0.33,0.67,5
0.21,0.44,2
0.25,0.47,7
